ID,LAT,LONG,COORDS
1,-1.320131366,36.70403362,"-1.32013136566866,36.7040336206845"
2,-1.343221849,36.76537354,"-1.343221849,36.76537354"
3,-1.233440746,36.8788412,"-1.233440746,36.8788412"
4,-1.297782868,36.76251856,"-1.297782868,36.76251856"
5,-1.301967695,36.82551219,"-1.301967695,36.82551219"
6,-1.32376096,36.84403412,"-1.32376096,36.84403412"
7,-1.219843482,36.88895975,"-1.219843482,36.88895975"
8,-1.210851789,36.79482727,"-1.210851789,36.79482727"
9,-1.210534937,36.79535012,"-1.210534937,36.79535012"
10,-1.259831239,36.77714939,"-1.259831239,36.77714939"
11,-1.29458695,36.78720827,"-1.29458695,36.78720827"
12,-1.258233111,36.81850846,"-1.258233111,36.81850846"
13,-1.25938,36.81786704,"-1.25937999994179,36.8178670354386"
14,-1.322993395,36.70710017,"-1.322993395,36.70710017"
15,-1.27994947,36.770748,"-1.27994947,36.770748"
16,-1.261178253,36.83923604,"-1.261178253,36.83923604"
17,-1.264376685,36.78714028,"-1.26437668485662,36.7871402803415"
18,-1.225348142,36.8403189,"-1.225348142,36.8403189"
19,-1.269055828,36.78957399,"-1.269055828,36.78957399"
20,-1.21602892,36.79976618,"-1.21602892012968,36.7997661762532"
21,-1.417069151,36.95351996,"-1.417069151,36.95351996"
22,-1.340760933,36.7567932,"-1.340760933,36.7567932"
23,-1.23627507,36.79307808,"-1.23627507,36.79307808"
24,-1.293255751,36.78774485,"-1.293255751,36.78774485"
25,-1.233473131,36.87270114,"-1.233473131,36.87270114"
26,-1.29858192,36.78321546,"-1.29858192,36.78321546"
27,-1.28677717,36.82835272,"-1.28677717,36.82835272"
28,-1.283775146,36.83172993,"-1.283775146,36.83172993"
29,-1.392311985,36.76587883,"-1.392311985,36.76587883"
30,-1.202267093,36.83306876,"-1.202267093,36.83306876"
31,-1.279081082,36.96666087,"-1.27908108154508,36.9666608669274"
32,-1.287903104,36.88139961,"-1.287903104,36.88139961"
33,-1.29307492,36.7928105,"-1.29307492,36.7928105"
34,-1.301095382,36.88799013,"-1.301095382,36.88799013"
35,-1.167455483,36.96382815,"-1.167455483,36.96382815"
36,-1.313455726,36.91536436,"-1.313455726,36.91536436"
37,-1.313689203,36.89494911,"-1.31368920273779,36.8949491108954"
38,-1.189393932,36.93241112,"-1.189393932,36.93241112"
